date,countryCode,localName,name,global,types,counties,launchYear
2026-11-23,AR,Día de la Soberanía Nacional,National Sovereignty Day,True,Public,,
2026-12-08,AR,Día de la Inmaculada Concepción de María,Immaculate Conception Day,True,Public,,
2026-12-25,AR,Navidad,Christmas Day,True,Public,,
2026-01-01,AT,Neujahr,New Year's Day,True,Public,,
2026-01-06,AT,Heilige Drei Könige,Epiphany,True,Public,,
2026-03-19,AT,Josefstag,Saint Joseph's Day,False,School,AT-2; AT-6; AT-7; AT-8,
2026-04-05,AT,Ostersonntag,Easter Sunday,True,Public,,
2026-04-06,AT,Ostermontag,Easter Monday,True,Public,,
2026-05-01,AT,Staatsfeiertag,National Holiday,True,Public,,
2026-05-04,AT,Florianitag,Saint Florian's Day,False,School,AT-4,
2026-05-14,AT,Christi Himmelfahrt,Ascension Day,True,Public,,
2026-05-24,AT,Pfingstsonntag,Pentecost,True,Public,,
2026-05-25,AT,Pfingstmontag,Whit Monday,True,Public,,
2026-06-04,AT,Fronleichnam,Corpus Christi,True,Public,,
2026-08-15,AT,Maria Himmelfahrt,Assumption Day,True,Public,,
2026-09-24,AT,Rupertitag,Saint Rupert's Day,False,School,AT-5,
2026-10-26,AT,Nationalfeiertag,National Holiday,True,Public,,
2026-11-01,AT,Allerheiligen,All Saints' Day,True,Public,,
2026-11-11,AT,Martinstag,Saint Martin's Day,False,School,AT-1,
2026-11-15,AT,Leopolditag,Saint Leopold's Day,False,School,AT-3; AT-9,
2026-12-08,AT,Mariä Empfängnis,Immaculate Conception,True,Public,,
2026-12-25,AT,Weihnachten,Christmas Day,True,Public,,
2026-12-26,AT,Stefanitag,St. Stephen's Day,True,Public,,
2026-01-01,AU,New Year's Day,New Year's Day,True,Public,,
2026-01-26,AU,Australia Day,Australia Day,True,Public,,
2026-03-02,AU,Labour Day,Labour Day,False,Public,AU-WA,
2026-03-09,AU,Canberra Day,Canberra Day,False,Public,AU-ACT,
2026-03-09,AU,Adelaide Cup Day,Adelaide Cup Day,False,Public,AU-SA,
2026-03-09,AU,Eight Hours Day,Eight Hours Day,False,Public,AU-TAS,
2026-03-09,AU,Labour Day,Labour Day,False,Public,AU-VIC,
2026-04-03,AU,Good Friday,Good Friday,True,Public,,
2026-04-04,AU,Easter Eve,Holy Saturday,False,Public,AU-ACT; AU-NSW; AU-NT; AU-QLD; AU-SA; AU-VIC,
2026-04-05,AU,Easter Sunday,Easter Sunday,False,Public,AU-ACT; AU-NSW; AU-NT; AU-QLD; AU-SA; AU-VIC; AU-WA,
2026-04-06,AU,Easter Monday,Easter Monday,True,Public,,
2026-04-25,AU,Anzac Day,Anzac Day,False,Public,AU-NT; AU-QLD; AU-SA; AU-TAS; AU-VIC,
2026-04-27,AU,Anzac Day,Anzac Day,False,Public,AU-NSW; AU-ACT; AU-WA,
2026-05-04,AU,May Day,May Day,False,Public,AU-NT,
2026-05-04,AU,Labour Day,Labour Day,False,Public,AU-QLD,
2026-06-01,AU,Reconciliation Day,Reconciliation Day,False,Public,AU-ACT,
2026-06-01,AU,Western Australia Day,Western Australia Day,False,Public,AU-WA,
2026-06-08,AU,King's Birthday,King's Birthday,False,Public,AU-ACT; AU-NSW; AU-NT; AU-SA; AU-TAS; AU-VIC,
2026-08-03,AU,Picnic Day,Picnic Day,False,Public,AU-NT,
2026-09-28,AU,King's Birthday,King's Birthday,False,Public,AU-WA,
2026-10-05,AU,Labour Day,Labour Day,False,Public,AU-ACT; AU-NSW; AU-SA,
2026-10-05,AU,King's Birthday,King's Birthday,False,Public,AU-QLD,
2026-11-03,AU,Melbourne Cup,Melbourne Cup,False,Public,AU-VIC,
2026-12-25,AU,Christmas Day,Christmas Day,True,Public,,
2026-12-28,AU,Boxing Day,St. Stephen's Day,True,Public,,
2026-01-01,AX,Nyårsdagen,New Year's Day,True,Public,,
2026-01-06,AX,Trettondagen,Epiphany,True,Public,,
2026-04-03,AX,Långfredag,Good Friday,True,Public,,
2026-04-05,AX,Påskdagen,Easter Sunday,True,Public,,
2026-04-06,AX,Annandag påsk,Easter Monday,True,Public,,
2026-05-01,AX,Första maj,May Day,True,Public,,
2026-05-14,AX,Kristi himmelsfärdsdagn,Ascension Day,True,Public,,
2026-05-24,AX,Pingstdagen,Pentecost,True,Public,,
2026-06-09,AX,Självstyrelsedagen,Autonomy Day,True,Public,,
2026-06-19,AX,Midsommarafton,Midsummer Evey,True,Public,,
2026-06-20,AX,Midsommardagen,Midsummer Day,True,Public,,
2026-11-07,AX,Alla helgons dag,All Saints Day,True,Public,,
2026-12-06,AX,Självständighetsdagen,Independence Day,True,Public,,
2026-12-24,AX,Julafton,Christmas Eve,True,Public,,
2026-12-25,AX,Juldagen,Christmas Day,True,Public,,
2026-12-26,AX,Annandag jul,St. Stephen's Day,True,Public,,
2026-01-01,BA,Nova Godina,New Year's Day,True,Public,,
2026-01-02,BA,Nova Godina,New Year's Day,True,Public,,
2026-01-06,BA,Božić (za pravoslavce),Christmas Eve (Orthodox),False,Public,BA-SRP,
2026-01-07,BA,Božić (za pravoslavce),Christmas Day (Orthodox),False,Public,BA-SRP,
2026-03-01,BA,Dan nezavisnosti Bosne i Hercegovine,Independence day,False,Public,BA-BIH,
2026-04-10,BA,Veliki petak,Good Friday,False,Public,BA-SRP,
2026-04-12,BA,Vaskrs (Uskrs),Easter Sunday,False,Public,BA-SRP,
2026-04-13,BA,Vaskrsni (Uskrsni) ponedeljak,Easter Monday,False,Public,BA-SRP,
2026-05-01,BA,Praznik rada,May Day / International Workers' Day,True,Public,,
2026-05-02,BA,Praznik rada,May Day / International Workers' Day,True,Public,,
2026-05-09,BA,Dan pobjede nad fašizmom,Victory Day over fascism,False,Public,BA-SRP,
2026-11-21,BA,Dan uspostavljanja Opšteg okvirnog sporazuma za mir u BiH,Day of the establishment of the General Framework Agreement for Peace in BiH,False,Public,BA-SRP,
2026-11-25,BA,Dan državnosti Bosne i Hercegovine,Statehood Day,False,Public,BA-BIH,
2026-12-24,BA,Božić (za rimokatolike),Christmas Eve (Roman Catholic),False,Public,BA-BIH,
2026-12-25,BA,Božić (za rimokatolike),Christmas Day (Roman Catholic),False,Public,BA-BIH,
2026-01-01,BB,New Year's Day,New Year's Day,True,Public,,
2026-01-21,BB,Errol Barrow Day,Errol Barrow Day,True,Public,,
2026-04-03,BB,Good Friday,Good Friday,True,Public,,
2026-04-06,BB,Easter Monday,Easter Monday,True,Public,,
2026-04-28,BB,National Heroes' Day,National Heroes' Day,True,Public,,
2026-05-01,BB,Labour Day,Labour Day,True,Public,,
2026-05-25,BB,Whit Monday,Whit Monday,True,Public,,
2026-08-01,BB,Emancipation Day,Emancipation Day,True,Public,,
2026-08-03,BB,Kadooment Day,Kadooment Day,True,Public,,
2026-11-30,BB,Independence Day,Independence Day,True,Public,,
2026-12-25,BB,Christmas Day,Christmas Day,True,Public,,
2026-12-26,BB,Boxing Day,Boxing Day,True,Public,,
2026-02-21,BD,শহিদ দিবস ও আন্তর্জাতিক মাতৃভাষা দিবস,International Mother Language Day,True,Public,,
2026-03-26,BD,স্বাধীনতা ও জাতীয় দিবস,Independence and National Day,True,Public,,
2026-04-14,BD,নববর্ষ,Bengali New Year,True,Public,,
2026-05-01,BD,মে দিবস,Labour Day,True,Public,,
2026-08-05,BD,জুলাই গণঅভ্যুত্থান দিবস,July Mass Uprising Day,True,Public,,
2026-12-16,BD,বিজয় দিবস,Victory Day,True,Public,,
2026-12-25,BD,বড়দিন,Christmas Day,True,Public,,
2026-01-01,BE,Nieuwjaar,New Year's Day,True,Public,,
2026-04-03,BE,Goede Vrijdag,Good Friday,True,Bank,,
2026-04-05,BE,Pasen,Easter Sunday,True,Public,,
2026-04-06,BE,Paasmaandag,Easter Monday,True,Public,,
2026-05-01,BE,Dag van de arbeid,Labour Day,True,Public,,
2026-05-14,BE,Onze Lieve Heer hemel,Ascension Day,True,Public,,
2026-05-15,BE,Day after Ascension Day,Day after Ascension Day,True,Bank,,
2026-05-25,BE,Pinkstermaandag,Whit Monday,True,Public,,
2026-07-21,BE,Nationale feestdag,Belgian National Day,True,Public,,
2026-08-15,BE,Onze Lieve Vrouw hemelvaart,Assumption Day,True,Public,,
2026-11-01,BE,Allerheiligen,All Saints' Day,True,Public,,
2026-11-11,BE,Wapenstilstand,Armistice Day,True,Public,,
2026-12-25,BE,Kerstdag,Christmas Day,True,Public,,
2026-12-26,BE,Boxing Day,St. Stephen's Day,True,Bank,,
2026-01-01,BG,Нова година,New Year's Day,True,Public,,
2026-01-02,BG,Ден на валутната смяна,Currency change day,True,Public,,
2026-03-03,BG,Ден на oсвобождението на България от Oсманско робство,Liberation Day,True,Public,,
2026-04-10,BG,Разпети петък,Good Friday,True,Public,,
2026-04-11,BG,Велика събота,Holy Saturday,True,Public,,
2026-04-12,BG,Великден,Easter Sunday,True,Public,,
2026-04-13,BG,Велики понеделник,Easter Monday,True,Public,,
2026-05-01,BG,Ден на труда и на международната работническа солидарност,International Workers' Day,True,Public,,
2026-05-06,BG,"Гергьовден, ден на храбростта и Българската армия",Saint George's Day,True,Public,,
2026-05-25,BG,Ден на Българската просвета и култура и на славянската писменост,Saints Cyril and Methodius Day,True,Public,,
2026-09-07,BG,Ден на съединението,Unification Day,True,Public,,
2026-09-22,BG,Ден на независимостта на България,Independence Day,True,Public,,
2026-12-24,BG,Бъдни вечер,Christmas Eve,True,Public,,
2026-12-25,BG,Рождество Христово,Christmas Day,True,Public,,
2026-12-26,BG,Рождество Христово,Second day of Christmas,True,Public,,
2026-01-01,BJ,New Year's Day,New Year's Day,True,Public,,
2026-01-10,BJ,Traditional Day,Traditional Day,True,Public,,
2026-04-05,BJ,Easter Sunday,Easter Sunday,True,Public,,
2026-04-06,BJ,Easter Monday,Easter Monday,True,Public,,
2026-05-01,BJ,Labour Day,Labour Day,True,Public,,
2026-05-14,BJ,Ascension Day,Ascension Day,True,Public,,
2026-05-25,BJ,Whit Monday,Whit Monday,True,Public,,
2026-08-01,BJ,Independence Day,Independence Day,True,Public,,
2026-08-15,BJ,Assumption Day,Assumption Day,True,Public,,
2026-10-26,BJ,Armed Forces Day,Armed Forces Day,True,Public,,
2026-11-01,BJ,All Saints' Day,All Saints' Day,True,Public,,
2026-11-30,BJ,National Day,National Day,True,Public,,
2026-12-25,BJ,Christmas Day,Christmas Day,True,Public,,
2026-12-26,BJ,Boxing Day,St. Stephen's Day,True,Public,,
2026-01-01,BO,Año Nuevo,New Year's Day,True,Public,,
2026-02-02,BO,Fiesta de la Virgen de Candelaria,Feast of the Virgin of Candelaria,True,Public,,
2026-02-16,BO,Feriado por Carnaval,Carnival,True,Public,,
2026-02-17,BO,Feriado por Carnaval,Carnival,True,Public,,
2026-04-03,BO,Viernes Santo,Good Friday,True,Public,,
2026-05-01,BO,Dia del trabajo,Labour Day,True,Public,,
2026-06-04,BO,Corpus Christi,Corpus Christi,True,Public,,
2026-06-21,BO,Año Nuevo Andino,Andean New Year,True,Public,,
2026-08-02,BO,Día de la Revolución Agraria,Agrarian Reform Day,True,Public,,
2026-08-06,BO,Dia de la Patria,Independence Day,True,Public,,
2026-11-02,BO,Todos Santos,All Saints' Day,True,Public,,
2026-12-25,BO,Navidad,Christmas Day,True,Public,,
2026-01-01,BR,Confraternização Universal,New Year's Day,True,Public,,
2026-02-16,BR,Carnaval,Carnival,True,Bank; Optional,,
2026-02-17,BR,Carnaval,Carnival,True,Bank; Optional,,
2026-04-03,BR,Sexta-feira Santa,Good Friday,True,Public,,
2026-04-05,BR,Domingo de Páscoa,Easter Sunday,True,Public,,
2026-04-21,BR,Dia de Tiradentes,Tiradentes,True,Public,,
2026-05-01,BR,Dia do Trabalhador,Labour Day,True,Public,,
2026-06-04,BR,Corpus Christi,Corpus Christi,True,Public,,
2026-07-09,BR,Revolução Constitucionalista de 1932,Constitutionalist Revolution of 1932,False,Public,BR-SP,
2026-09-07,BR,Dia da Independência,Independence Day,True,Public,,
2026-10-12,BR,Nossa Senhora Aparecida,Our Lady of Aparecida,True,Public,,
2026-11-02,BR,Dia de Finados,All Souls' Day,True,Public,,
2026-11-15,BR,Proclamação da República,Republic Proclamation Day,True,Public,,
2026-11-20,BR,Dia da Consciência Negra,Black Awareness Day,True,Public,,
2026-12-25,BR,Natal,Christmas Day,True,Public,,
2026-01-02,BS,New Year's Day,New Year's Day,True,Public,,
2026-01-12,BS,Majority Rule Day,Majority Rule Day,True,Public,,
2026-04-03,BS,Perry Christie Day,Perry Christie Day,True,Public,,
2026-04-03,BS,Good Friday,Good Friday,True,Public,,
2026-04-06,BS,Easter Monday,Easter Monday,True,Public,,
2026-05-25,BS,Whit Monday,Whit Monday,True,Public,,
2026-07-10,BS,Independence Day,Independence Day,True,Public,,
2026-08-07,BS,Emancipation Day,Emancipation Day,True,Public,,
2026-10-12,BS,National Heroes' Day,National Heroes' Day,True,Public,,
2026-12-25,BS,Christmas Day,Christmas Day,True,Public,,
2026-12-26,BS,Boxing Day,St. Stephen's Day,True,Public,,
2026-01-01,BW,New Year's Day,New Year's Day,True,Public,,
2026-04-03,BW,Good Friday,Good Friday,True,Public,,
2026-04-06,BW,Easter Monday,Easter Monday,True,Public,,
2026-05-01,BW,Labour Day,Labour Day,True,Public,,
2026-05-14,BW,Ascension Day,Ascension Day,True,Public,,
2026-07-01,BW,Sir Seretse Khama Day,Sir Seretse Khama Day,True,Public,,
2026-07-20,BW,Presidents' Day,Presidents' Day,True,Public,,
2026-09-30,BW,Independence Day,Independence Day,True,Public,,
2026-10-01,BW,Botswana Day holiday,Botswana Day holiday,True,Public,,
2026-12-25,BW,Christmas Day,Christmas Day,True,Public,,
2026-12-26,BW,Boxing Day,St. Stephen's Day,True,Public,,
2026-01-01,BY,Новы год,New Year's Day,True,Public,,
2026-01-02,BY,Новы год,New Year's Day,True,Public,,
2026-01-07,BY,Каляды праваслаўныя,Christmas Day (Orthodox),True,Public,,
2026-03-08,BY,Мiжнародны жаночы дзень,International Women's Day,True,Public,,
2026-04-21,BY,Радунiца,Commemoration Day,True,Public,,
2026-05-01,BY,Дзень працы,Labour Day,True,Public,,
2026-05-09,BY,Дзень Перамогi,Victory Day,True,Public,,
2026-07-03,BY,Дзень Незалежнасцi,Independence Day,True,Public,,
2026-11-07,BY,Дзень Кастрычніцкай рэвалюцыі,October Revolution Day,True,Public,,
2026-12-25,BY,Каляды каталiцкiя,Catholic Christmas Day,True,Public,,
2026-01-01,BZ,New Year's Day,New Year's Day,True,Public,,
2026-01-15,BZ,George Price Day,George Price Day,True,Public,,
2026-03-09,BZ,National Heroes and Benefactors Day,National Heroes and Benefactors Day,True,Public,,
2026-04-03,BZ,Good Friday,Good Friday,True,Public,,
2026-04-04,BZ,Holy Saturday,Holy Saturday,True,Public,,
2026-04-05,BZ,Easter Sunday,Easter Sunday,True,Public,,
2026-04-06,BZ,Easter Monday,Easter Monday,True,Public,,
2026-05-01,BZ,Labour Day,Labour Day,True,Public,,
2026-08-01,BZ,Emancipation Day,Emancipation Day,True,Public,,
2026-09-10,BZ,Saint George's Caye Day,Saint George's Caye Day,True,Public,,
2026-09-21,BZ,Independence Day,Independence Day,True,Public,,
2026-10-12,BZ,Pan America Day,Pan America Day,True,Optional,,
2026-11-19,BZ,Garifuna Settlement Day,Garifuna Settlement Day,True,Public,,
2026-12-25,BZ,Christmas Day,Christmas Day,True,Public,,
2026-12-26,BZ,Boxing Day,Boxing Day,True,Public,,
2026-01-01,CA,New Year's Day,New Year's Day,True,Public,,
2026-02-16,CA,Louis Riel Day,Louis Riel Day,False,Public,CA-MB,
2026-02-16,CA,Islander Day,Islander Day,False,Public,CA-PE,
2026-02-16,CA,Heritage Day,Heritage Day,False,Public,CA-NS,
2026-02-16,CA,Family Day,Family Day,False,Public,CA-AB; CA-BC; CA-NB; CA-ON; CA-SK,
2026-03-17,CA,Saint Patrick's Day,Saint Patrick's Day,False,Public,CA-NL,
2026-04-03,CA,Good Friday,Good Friday,True,Public,,
2026-04-06,CA,Easter Monday,Easter Monday,False,Public,CA-AB; CA-PE,
2026-04-23,CA,Saint George's Day,Saint George's Day,False,Public,CA-NL,
2026-05-18,CA,National Patriots' Day,National Patriots' Day,False,Public,CA-QC,
2026-05-18,CA,Victoria Day,Victoria Day,True,Public,,
2026-06-21,CA,National Aboriginal Day,National Aboriginal Day,False,Public,CA-NT,
2026-06-24,CA,Discovery Day,Discovery Day,False,Public,CA-NL,
2026-06-24,CA,Fête nationale du Québec,National Holiday,False,Public,CA-QC,
2026-07-01,CA,Canada Day,Canada Day,True,Public,,
2026-07-12,CA,Orangemen's Day,Orangemen's Day,False,Public,CA-NL,
2026-08-03,CA,Civic Holiday,Civic Holiday,False,Public,CA-MB; CA-NL; CA-NT; CA-NU; CA-ON,
2026-08-03,CA,British Columbia Day,British Columbia Day,False,Public,CA-BC,
2026-08-03,CA,Heritage Day,Heritage Day,False,Public,CA-AB; CA-YT,
2026-08-03,CA,New Brunswick Day,New Brunswick Day,False,Public,CA-NB,
2026-08-03,CA,Natal Day,Natal Day,False,Public,CA-NS,
2026-08-03,CA,Saskatchewan Day,Saskatchewan Day,False,Public,CA-SK,
2026-08-17,CA,Gold Cup Parade Day,Gold Cup Parade Day,False,Public,CA-PE,
2026-08-17,CA,Discovery Day,Discovery Day,False,Public,CA-YT,
2026-09-07,CA,Labour Day,Labour Day,True,Public,,
2026-09-30,CA,National Day for Truth and Reconciliation,National Day for Truth and Reconciliation,True,Public,,
2026-10-12,CA,Thanksgiving,Thanksgiving,True,Public,,
2026-11-11,CA,Armistice Day,Armistice Day,False,Public,CA-NL,
2026-11-11,CA,Remembrance Day,Remembrance Day,False,Public,CA-AB; CA-BC; CA-NB; CA-NT; CA-NS; CA-NU; CA-PE; CA-SK; CA-YT,
2026-12-25,CA,Christmas Day,Christmas Day,True,Public,,
2026-12-26,CA,Boxing Day,St. Stephen's Day,False,Public,CA-AB; CA-NB; CA-NS; CA-ON; CA-PE,
2026-01-01,CD,New Year's Day,New Year's Day,True,Public,,
2026-01-04,CD,Martyrs Day,Martyrs Day,True,Public,,
2026-01-16,CD,Laurent-Désiré Kabila Assassination,Laurent-Désiré Kabila Assassination,True,Public,,
2026-01-17,CD,Patrice Lumumba Assassination,Patrice Lumumba Assassination,True,Public,,
2026-04-06,CD,Kimbangu's Day,Kimbangu's Day,True,Public,,
2026-05-01,CD,Labour Day,Labour Day,True,Public,,
2026-05-17,CD,Liberation Day,Liberation Day,True,Public,,
2026-06-30,CD,Independence Day,Independence Day,True,Public,,
2026-08-01,CD,Parents' Day,Parents' Day,True,Public,,
2026-08-02,CD,Congolese Genocide Day,Congolese Genocide Day,True,Public,,
2026-12-25,CD,Christmas Day,Christmas Day,True,Public,,
2026-01-01,CG,Jour de l'An,New Year's Day,True,Public,,
2026-04-05,CG,Dimanche de Pâques,Easter Sunday,True,Public,,
2026-04-06,CG,Lundi de Pâques,Easter Monday,True,Public,,
2026-05-01,CG,Fête du Travail,Labour Day,True,Public,,
2026-05-14,CG,Ascension,Ascension Day,True,Public,,
2026-05-25,CG,Lundi de Pentecôte,Whit Monday,True,Public,,
2026-06-10,CG,Fête de la Réconciliation,Reconciliation Day,True,Public,,
2026-08-15,CG,Fête Nationale,National Day,True,Public,,
2026-11-01,CG,Toussaint,All Saints' Day,True,Public,,
2026-11-28,CG,Jour de la République,Republic Day,True,Public,,
2026-12-25,CG,Noël,Christmas Day,True,Public,,
2026-01-01,CH,Neujahr,New Year's Day,True,Public,,
2026-01-02,CH,Berchtoldstag,St. Berchtold's Day,False,Public,CH-BE; CH-FR; CH-SH; CH-AG; CH-TG; CH-VD,
2026-01-06,CH,Heilige Drei Könige,Epiphany,False,Public,CH-TI,
2026-01-06,CH,Heilige Drei Könige,Epiphany,False,Observance,CH-UR; CH-SZ,
2026-03-01,CH,Jahrestag der Ausrufung der Republik,Republic Day,False,Public,CH-NE,
2026-03-19,CH,Josefstag,Saint Joseph's Day,False,Public,CH-SZ; CH-VS,
2026-03-19,CH,Josefstag,Saint Joseph's Day,False,Observance,CH-LU; CH-UR; CH-NW; CH-TI,
2026-04-03,CH,Karfreitag,Good Friday,False,Public,CH-ZH; CH-BE; CH-LU; CH-UR; CH-SZ; CH-OW; CH-NW; CH-GL; CH-ZG; CH-FR; CH-SO; CH-BS; CH-BL; CH-SH; CH-AR; CH-AI; CH-SG; CH-GR; CH-AG; CH-TG; CH-VD; CH-NE; CH-GE; CH-JU,
2026-04-04,CH,Näfelser Fahrt,Näfels procession,False,Public,CH-GL,
2026-04-06,CH,Ostermontag,Easter Monday,False,Public,CH-ZH; CH-BE; CH-GL; CH-FR; CH-BS; CH-BL; CH-SH; CH-AR; CH-AI; CH-SG; CH-GR; CH-AG; CH-TG; CH-TI; CH-VD; CH-GE; CH-JU,
2026-04-06,CH,Ostermontag,Easter Monday,False,Observance,CH-UR; CH-SZ; CH-OW,
2026-05-01,CH,Tag der Arbeit,Labour Day,False,Public,CH-ZH; CH-SO; CH-BS; CH-BL; CH-SH; CH-NE; CH-JU,
2026-05-01,CH,Tag der Arbeit,Labour Day,False,Observance,CH-TG; CH-TI,
2026-05-14,CH,Auffahrt,Ascension Day,True,Public,,
2026-05-25,CH,Pfingstmontag,Whit Monday,False,Public,CH-ZH; CH-BE; CH-GL; CH-FR; CH-BS; CH-BL; CH-SH; CH-AR; CH-AI; CH-SG; CH-GR; CH-AG; CH-TG; CH-VD; CH-GE; CH-JU,
2026-05-25,CH,Pfingstmontag,Whit Monday,False,Observance,CH-UR; CH-SZ; CH-OW; CH-TI,
2026-06-04,CH,Fronleichnam,Corpus Christi,False,Public,CH-LU; CH-UR; CH-SZ; CH-OW; CH-NW; CH-ZG; CH-FR; CH-SO; CH-AI; CH-AG; CH-VS; CH-JU,
2026-06-04,CH,Fronleichnam,Corpus Christi,False,Observance,CH-TI,
2026-06-29,CH,Peter und Paul,Saint Peter and Saint Paul,False,Observance,CH-TI,
2026-08-01,CH,Bundesfeier,Swiss National Day,True,Public,,
2026-08-15,CH,Maria Himmelfahrt,Assumption of the Virgin Mary,False,Public,CH-LU; CH-UR; CH-SZ; CH-OW; CH-NW; CH-ZG; CH-FR; CH-SO; CH-AG; CH-TI; CH-VS,
2026-08-15,CH,Maria Himmelfahrt,Assumption of the Virgin Mary,False,Observance,CH-AI; CH-JU,
2026-09-10,CH,Jeûne genevois,Geneva Prayday,False,Public,CH-GE,
2026-09-20,CH,"Eidgenössischer Dank-, Buss- und Bettag",Federal Day of Thanksgiving,False,Observance,CH-ZH; CH-BE; CH-LU; CH-SZ; CH-OW; CH-NW; CH-GL; CH-SO; CH-BS; CH-BL; CH-SH; CH-SG; CH-GR,
2026-09-21,CH,Bettagsmontag,Federal Fast Monday,False,Public,CH-VD,
2026-11-01,CH,Allerheiligen,All Saints' Day,False,Public,CH-LU; CH-UR; CH-SZ; CH-OW; CH-NW; CH-GL; CH-ZG; CH-FR; CH-SO; CH-SG; CH-AG; CH-TI; CH-VS,
2026-11-01,CH,Allerheiligen,All Saints' Day,False,Observance,CH-AI; CH-JU,
2026-12-08,CH,Mariä Empfängnis,Immaculate Conception,False,Public,CH-UR; CH-OW; CH-NW; CH-ZG; CH-FR; CH-AG; CH-VS,
2026-12-08,CH,Mariä Empfängnis,Immaculate Conception,False,Observance,CH-AI; CH-JU; CH-LU; CH-SZ; CH-TI,
2026-12-25,CH,Weihnachten,Christmas Day,True,Public,,
2026-12-26,CH,Stephanstag,St. Stephen's Day,False,Public,CH-ZH; CH-BE; CH-LU; CH-GL; CH-FR; CH-BS; CH-BL; CH-SH; CH-SG; CH-GR; CH-AG; CH-TG; CH-TI,
