uuid,ich_public_ref,inscription_year,title_en,countries,type_acronym,type_of_element_en,concepts_primary_names,concepts_secondary_names,http_url_en
ce8b6767-58d7-461c-941f-bab5688be274,120,2008,Space of gong culture,VN,RL,Representative List,Cultural space; Idiophones; Religious music,Funeral; Know-how transfer; Mysticism; Offering; Percussion instruments; Religious practice; Ritual items; Rural population; Social status,https://ich.unesco.org/en/RL/00120
2db466b1-a9e0-46be-9b66-89ab092e47ce,122,2008,Cultural space of the Bedu in Petra and Wadi Rum,JO,RL,Representative List,Cultural space; Nomads; Rural patrimony,Folk literature; Moral values; Oral tradition; Social values; Technical skills; Traditional medicine; Vocal music,https://ich.unesco.org/en/RL/00122
73a8ba64-268f-4c36-a6e9-bf591b9d0341,140,2008,Makishi masquerade,ZM,RL,Representative List,Initiation rites; Masks,Circumcision; Costumes; Dance; Festivals; Instrumental music; Know-how transfer; Religious belief; Sexual behaviour; Social roles; Social values; Spiritual retreat; Veneration of the dead,https://ich.unesco.org/en/RL/00140
103c2565-2777-44b9-89f2-e7857be0c799,153,2008,Processional giants and dragons in Belgium and France,BE; FR,RL,Representative List,Effigies; Procession,Costumes; Craft workers; Fanfare; Festivals; Float; Handicrafts; Instrumental music; Legendary creatures; Legends; Religious practice; Secular practice; Tourism,https://ich.unesco.org/en/RL/00153
dea2a469-7074-4318-ac73-ac2384fa0e91,156,2008,Patum of Berga,ES,RL,Representative List,Festivals; Procession; Theatre,Acrobatics; Costumes; Dance; Effigies; Legendary creatures; Masks; Orchestras; Percussion instruments; Pyrotechnics; Religious practice,https://ich.unesco.org/en/RL/00156
03749a40-01b4-4f27-b6a2-ac6e79fe3cb7,168,2008,Moussem of Tan-Tan,MA,RL,Representative List,Fair; Nomads; Socio-cultural practices,Calendars; Food; Handicrafts; Instrumental music; Poetry; Sports competitions; Tribes; Vocal music; Wedding,https://ich.unesco.org/en/RL/00168
5a514f7f-28e9-41f2-838b-551c0ba6797f,169,2008,Mbende Jerusarema dance,ZW,RL,Representative List,Acrobatics; Fertility ritual; Ritual dance,Body percussion; Choreography; Colonial history; Family; Idiophones; Percussion instruments; Performing arts; Politics; Sexual behaviour; Vocal music; Yodelling,https://ich.unesco.org/en/RL/00169
b3f4bae0-6483-448c-9f6e-eed2c1d317f9,304,2010,Meshrep,CN,USL,Urgent Safeguarding List,Cultural events; Dance; Theatre; Vocal music,Acrobatics; Costumes; Cultural education; Drama; Fertility ritual; Folk art; Folk literature; Humour (literary); Instrumental music; Mediation; Moral values; Performing arts,https://ich.unesco.org/en/USL/00304
d1ad4ca6-9be6-4bc4-9b69-baeb10fbb06d,418,2010,Peking opera,CN,RL,Representative List,Opera; Performing arts; Vocal music,Acrobatics; Apprenticeship; Bladed weapons; Choreography; Costumes; Dance; History; Humour (literary); Instrumental music; Makeup; Martial arts; Orchestras; Poetry; Representative literary works; Social participation,https://ich.unesco.org/en/RL/00418
4dd4af2a-4585-49cb-bf79-f0033a734853,437,2010,Gastronomic meal of the French,FR,RL,Representative List,Food customs; Food preparation,Alcoholic beverages; Apprenticeship; Birth; Craft workers; Decorative arts; Family; Food; Markets; Oral tradition; Rituals; Wedding,https://ich.unesco.org/en/RL/00437
f5baaec9-9211-46ee-b80d-0e6eae6586ab,337,2010,Chhau dance,IN,RL,Representative List,Acrobatics; Dance; Hinduism; Representative literary works,Apprenticeship; Bladed weapons; Choreography; Costumes; Epic poetry; Festivals; Makeup; Martial arts; Masks; Percussion instruments; Religious practice; Seasonal ritual; Transvestism; Woodwind instruments,https://ich.unesco.org/en/RL/00337
0b531ba5-6800-4f4b-8db1-71f076661717,345,2010,"Mudiyettu, ritual theatre and dance drama of Kerala",IN,RL,Representative List,Dance; Religious practice; Theatre,Bladed weapons; Caste; Costumes; Drawing; Hinduism; Instrumental music; Makeup; Mythology; Orchestras; Poetry; Prosperity ritual; Ritual purification; Temples; Transvestism; Vocal music,https://ich.unesco.org/en/RL/00345
02ccc8f7-4eea-4a32-a427-11bca08ba032,393,2010,Indonesian Angklung,ID,RL,Representative List,Idiophones; Instrumental music,Agricultural ritual; Circumcision; Costumes; Craft workers; Handicrafts; Instrument making; Music education; Oral tradition; Orchestras; Religious belief; Technical skills; Work songs,https://ich.unesco.org/en/RL/00393
4b5cec1a-ddb9-4c58-8714-da0325125641,381,2010,Music of the Bakhshis of Khorasan,IR,RL,Representative List,Epic poetry; Instrumental music; Vocal music,Apprenticeship; Ethics; Family; Festivals; Gnosticism; Instrument making; Islam; Legends; Memorization; Mythology; Oral tradition; Plucked string instruments; Social values; Story telling,https://ich.unesco.org/en/RL/00381
86101073-a7ac-4346-80fa-e5178534dce2,378,2010,Pahlevani and Zoorkhanei rituals,IR,RL,Representative List,Martial arts; Rituals,Acrobatics; Athletes; Epic poetry; Gnosticism; Islam; Mysticism; Percussion instruments; Religious practice; Religious syncretism; Secret society; Symbols; Vocal music; Weapons,https://ich.unesco.org/en/RL/00378
8bc21f5a-0659-4844-ab4d-f3c2ab8b55e6,383,2010,Traditional skills of carpet weaving in Kashan,IR,RL,Representative List,Carpets; Decorative arts; Weaving,Apprenticeship; Craft workers; Design; Family; Gender division of labour; Geometry; Natural dyes; Natural pigments; Needle; Pattern; Technical skills; Women workers,https://ich.unesco.org/en/RL/00383
cff3f47f-660d-45c5-8bc3-8fa9b46a3733,433,2010,"Sutartinės, Lithuanian multipart songs",LT,RL,Representative List,Instrumental music; Polyphonic singing; Vocal music,Calendars; Choreography; Costumes; Dance; Everyday life; Family; Festivals; History; Plucked string instruments; Poetry; Wedding; Woodwind instruments; Work songs,https://ich.unesco.org/en/RL/00433
53df1476-58b4-4975-9201-d42fd9f4ff46,399,2010,Parachicos in the traditional January feast of Chiapa de Corzo,MX,RL,Representative List,Festivals; Religious practice; Saints,Catholicism; Costumes; Dance; Embroidery; Food customs; Handicrafts; Humour (literary); Instrumental music; Masks; Musical instruments; Procession; Sculpture; Transvestism; Vocal music; Wood carving,https://ich.unesco.org/en/RL/00399
904bb0e7-e1fd-4351-bf6e-3696481956b5,398,2010,"Pirekua, traditional song of the P’urhépecha",MX,RL,Representative List,Instrumental music; Vocal music,Bowed string instruments; Choir singing; Costumes; Duet; Emotions; Food customs; Multiculturalism; Oral tradition; Orchestras; Plucked string instruments; Poetry; Politics; Polyphonic singing,https://ich.unesco.org/en/RL/00398
3ead5045-473b-4c10-aa51-79ec52599860,879,2013,Traditional art of Jamdani weaving,BD,RL,Representative List,Textile arts; Weaving,Apprenticeship; Clothing; Costumes; Craft workers; Dyes technology; Family; Memorization; Pattern; Spinning,https://ich.unesco.org/en/RL/00879
9310b8b3-2ada-4dbc-9a24-1cb46eb6e06b,391,2010,Scissors dance,PE,RL,Representative List,Acrobatics; Ritual dance; Rituals; Scissors,Agricultural ritual; Bowed string instruments; Catholicism; Choreography; Contests; Costumes; Embroidery; Oral tradition; Plucked string instruments; Religious belief,https://ich.unesco.org/en/RL/00391
742956ca-9114-4648-9c3b-9c25a4bbfcdb,386,2010,Kırkpınar oil wrestling festival,TR,RL,Representative List,Sports competitions; Wrestling,Apprenticeship; Costumes; Entertainment; Fanfare; Festivals; Instrumental music; Islam; Leather; Moral values; Percussion instruments; Procession; Woodwind instruments,https://ich.unesco.org/en/RL/00386
768ca6d8-6f6d-47be-932b-fa4e26da5415,357,2010,"Sinjska Alka, a knights’ tournament in Sinj",HR,RL,Representative List,Equestrian games; Festivals; Sports competitions,Armed forces; Bladed weapons; Catholicism; Costumes; Ethics; Family; Fanfare; Handicrafts; Historical reenactment; Knights; Procession; Religious practice,https://ich.unesco.org/en/RL/00357
db04b81f-692d-4001-9663-637adce4e574,2117,2024,Wosana ritual and associated practices,BW,USL,Urgent Safeguarding List,Agricultural ritual; Prosperity ritual,Dance; Family; Initiation rites; Offering; Percussion instruments; Taboo; Veneration of the dead; Vocal music,https://ich.unesco.org/en/USL/02117
46a1db5c-2fe0-47b1-8fd9-d6efd26deb8d,2297,2025,Mwazindika spiritual dance of the Daida community of Kenya,KE,USL,Urgent Safeguarding List,Community participation; Prosperity ritual; Ritual dance,Audiovisual archives; Cartography; Cultural landscapes; Environmental legislation; Exorcism; Initiation rites; Instrumental music; Percussion instruments; Social inclusion; Traditional medicine; Trance; Veneration of the dead; Vocal music,https://ich.unesco.org/en/USL/02297
5ca419dd-9a59-4b15-a9af-5cde14e1b4b3,2328,2025,"Boreendo, Bhorindo: ancient dying folk musical instrument, its melodies, knowledge, and skills",PK,USL,Urgent Safeguarding List,Instrument making; Pottery; Wind instruments,Apprenticeship; Capacity building; Craft workers; Creativity; Festivity; Income; Intergenerational relationship; Kiln; Music education; Recordings; Technical skills; Training courses; Workshops (teaching method),https://ich.unesco.org/en/USL/02328
72265568-7c5b-4498-872d-ca6ad5210329,2159,2025,"Ñai'ũpo art, ancestral ceramic craftsmanship",PY,USL,Urgent Safeguarding List,Ceramic art; Women workers,Apprenticeship; Family; Food preparation; Indigenous languages; Kiln; Oral tradition; Solidarity; Technical skills; Traditional tools,https://ich.unesco.org/en/USL/02159
4925fbbb-1763-49c4-b64f-cf15e2102cf6,2316,2025,"The practice of making Asin Tibuok, the artisanal sea salt of the Boholano of Bohol Island, Philippines",PH,USL,Urgent Safeguarding List,Family; Technical skills,Apprenticeship; Drying; Everyday life; Food preparation; Inventories; Labour migration; Pottery; Social inclusion; Sustainable development; Traditional tools; Workshops (teaching method),https://ich.unesco.org/en/USL/02316
ed3b91ce-2e57-400c-80b4-fc7c1d9cf2f9,2332,2025,Moliceiro boat: naval carpentry art of the Aveiro region,PT,USL,Urgent Safeguarding List,Carpentry; Painting; Shipbuilding; Technical skills,Contests; Decorative arts; Educational publications; Fertilizers; Museums; Oral tradition; Professional training; Social status; Sports competitions; Symbols; Teaching materials; Tourism; Traditional tools,https://ich.unesco.org/en/USL/02332
aecc8bc8-e37a-4cfc-b87b-cd8978cc848b,2088,2025,Negliubka textile tradition of Vetka District Gomel Region,BY,USL,Urgent Safeguarding List,Costumes; Craft workers; Weaving,Colours; Embroidery; Museums; Pattern; Prosperity ritual; Symbols; Women workers,https://ich.unesco.org/en/USL/02088
9ab115f4-a3b2-4fdb-831e-2e154a89e18d,904,2013,"Empaako tradition of the Batooro, Banyoro, Batuku, Batagwenda and Banyabindi of western Uganda",UG,USL,Urgent Safeguarding List,Personal name; Rituals,Beverages; Clans; Communities; Cultural space; Emotions; Food preparation; Friendship; Initiation rites; Local languages; Peace; Procession; Social behaviour; Symbols,https://ich.unesco.org/en/USL/00904
6d75bdf3-ffd1-4129-8ffd-de8b81edfd65,1868,2022,"Kun Lbokator, traditional martial arts in Cambodia",KH,RL,Representative List,Martial arts; Physical education; Self discipline,Apprenticeship; Armed forces; Bladed weapons; Family; Gender equality; Know-how transfer; Moral values; Nonviolence; Primary school curriculum; Religious practice; Sports competitions; Stick; Technical skills; Wrestling,https://ich.unesco.org/en/RL/01868
79cd0ef8-a155-4d1a-b91d-7a9387fe39ad,1886,2022,"Ancestral system of knowledge of the four indigenous peoples, Arhuaco, Kankuamo, Kogui and Wiwa of the Sierra Nevada de Santa Marta",CO,RL,Representative List,Cosmology; Spiritual knowledge,Calendars; Dance; Gender division of labour; Initiation rites; Language preservation; Oral tradition; Sacred sites; Vocal music; Wedding; Wisdom,https://ich.unesco.org/en/RL/01886
c4fb5505-48dc-430f-8d5a-ab8dddca1207,2129,2024,Intore,RW,RL,Representative List,Bladed weapons; Dance,Aesthetics; Costumes; Formal education; Monarchy; Percussion instruments; Poetry; Social control; Technical skills; Wind instruments,https://ich.unesco.org/en/RL/02129
c3e7c30d-583b-4a3c-b859-fcfa341b1c0e,1891,2022,"Festivity of Saint Tryphon and the Kolo (chain dance) of Saint Tryphon, traditions of Croats from Boka Kotorska (Bay of Kotor) who live in the Republic of Croatia",HR,RL,Representative List,Fraternity; Historical reenactment; Saints,Armed forces; Catholicism; Costumes; Dance; Flags; Maritime transport; Periodic element; Procession; Religious practice; Sailing,https://ich.unesco.org/en/RL/01891
d2a1e1e6-32c3-4d41-9727-8722e11904f3,1844,2022,"Al-Khanjar, craft skills and social practices",OM,RL,Representative List,Bladed weapons; Engraving,Costumes; Exhibitions; Family; Festivals; Geometry; Handicrafts; Jewelry; Nonformal education; Pattern; Religious practice; Symbols; Technical skills; Training courses; Wedding,https://ich.unesco.org/en/RL/01844
9366ba1c-b478-4204-8b73-cbbf7b1e0885,1695,2022,Pyongyang Raengmyon custom,KP,RL,Representative List,Food customs; Food preparation,Contests; Family; Hospitality; Nonformal education; Poetry; Social gathering; Wedding,https://ich.unesco.org/en/RL/01695
24be1b56-307a-493e-bbeb-3cbff39cd114,1700,2022,Festivals related to the Journey of the Holy family in Egypt,EG,RL,Representative List,Festivals; Orthodox Churches; Procession; Religious practice,Dance; Family; Historical reenactment; Hospitality; Instrumental music; Interfaith practices; Islam; Oral tradition; Periodic element; Social inclusion; Vocal music; Womens participation,https://ich.unesco.org/en/RL/01700
a4a439b0-ac23-480a-b848-0cb7cdf1ef80,1883,2022,Artisanal know-how and culture of baguette bread,FR,RL,Representative List,Apprenticeship; Bread; Food preparation; Technical skills,Contests; Creativity; Everyday life; Fermentation; Flour; Food customs; Handicrafts; Oven; Social inclusion; Stick,https://ich.unesco.org/en/RL/01883
2a3caa1b-7c21-4285-9211-ed6ffb110e0b,2132,2024,Craftsmanship of Aleppo Ghar soap,SY,RL,Representative List,Craft workers; Family; Soap,Apprenticeship; Cosmetics; Handicrafts; Hygiene; Income; Know-how transfer; Reconstruction; Technical skills,https://ich.unesco.org/en/RL/02132
95d695f8-1173-4be0-a96b-b5f35e459240,1726,2022,August 15th (Dekapentavgoustos) festivities in two Highland Communities of Northern Greece: Tranos Choros (Grand Dance) in Vlasti and Syrrako Festival,GR,RL,Representative List,Dance; Festivals; Social gathering; Vocal music,Choreography; Emotions; Orchestras; Orthodox Churches; Periodic element; Religious practice,https://ich.unesco.org/en/RL/01726
176b3f6b-d502-46b2-9c4b-765cd7c2996b,2246,2025,Amateur theatre acting in Czechia,CZ,RL,Representative List,Community participation; Stage equipment; Theatrical performances,Associations; Cultural life; Drama education; Emotions; Festivals; Leisure; Performing arts; Social inclusion,https://ich.unesco.org/en/RL/02246
6d8dce5e-c21d-4662-910c-24c58ed6e39f,2116,2024,"Henna: rituals, aesthetic and social practices",AE; DZ; BH; EG; IQ; JO; KW; MR; MA; OM; PS; QA; SA; SD; TN; YE,RL,Representative List,Cosmetics; Life cycle; Natural dyes,Basket weaving; Craft workers; Design; Geometry; Rituals; Social gathering; Technical skills; Women workers,https://ich.unesco.org/en/RL/02116
9491b57e-fc10-4113-b1f0-f2d6be404c52,1999,2024,Festival of Bà Chúa Xứ Goddess at Sam Mountain,VN,RL,Representative List,Festivals; Prosperity ritual,Dance; Legendary creatures; Multiethnic societies; Offering; Percussion instruments; Pilgrimages; Procession; Ritual purification,https://ich.unesco.org/en/RL/01999
257f3bc5-f4df-4a0e-8696-35c392666931,2240,2025,The Confraternity of flowers and palms,SV,RL,Representative List,Fraternity; Religious syncretism,Catholicism; Colonial history; Costumes; Dance; Food preparation; Instrumental music; Oral tradition; Procession; Social inclusion,https://ich.unesco.org/en/RL/02240
e1a8e4fb-9516-4a97-ad99-5d93a326b6ae,2244,2025,Al-Muhaibis: social practices and traditions associated with it,IQ,RL,Representative List,Games; Sports competitions,Family; Food preparation; Friendship; Religious practice; Social inclusion; Vocal music,https://ich.unesco.org/en/RL/02244
a3c614ad-c44b-4ff5-8d8b-f9dde81d8168,2315,2025,"Gifaataa, Wolaita people New Year festival",ET,RL,Representative List,New year,Conflict resolution; Family role; Fermented beverages; Festivals; Food preparation; Horse riding; Instrumental music; Intergenerational relationship; Offering; Social inclusion; Vocal music,https://ich.unesco.org/en/RL/02315
ba2c4c04-73be-456b-bf53-58317367a8bf,1701,2022,"Furyu-odori, ritual dances imbued with people’s hopes and prayers",JP,RL,Representative List,Prosperity ritual; Ritual dance; Social participation; Vocal music,Buddhism; Costumes; Festivals; Handicrafts; Instrumental music; Masks; Periodic element; Procession; Veneration of the dead; Wood carving,https://ich.unesco.org/en/RL/01701
49c27c69-c236-4015-a327-733ab9ad9f9c,2253,2025,"Mvet Oyeng, musical art, practices and skills associated with the Ekang community",GA; CM; CG,RL,Representative List,Collective memory; Plucked string instruments; Story telling,Epic poetry; Festivity; Initiation rites; Moral values; Percussion instruments; Social inclusion; Technical skills; Vocal music,https://ich.unesco.org/en/RL/02253
397f94ce-80a4-4fec-8c20-add4325e957e,1881,2024,K'cimi dancing of Tropojë,AL,RL,Representative List,Dance; Percussion instruments,Costumes; Festivals; Improvisation; Life cycle; Moral values; Social inclusion; Wedding; Woodwind instruments,https://ich.unesco.org/en/RL/01881
c1020bc8-75c8-4871-a82c-fe11f11bc023,1849,2022,"Al-Mansaf in Jordan, a festive banquet and its social and cultural meanings",JO,RL,Representative List,Festivity; Food customs; Food preparation; Hospitality,Bread; Conflict resolution; Family; Funeral; Gender roles; Hygiene; Moral values; Nonformal education; Social gathering; Social inclusion; Wedding,https://ich.unesco.org/en/RL/01849
310c9cba-4654-4b96-bb24-7c3418b28e53,1878,2022,"Orteke, traditional performing art in Kazakhstan: dance, puppet and music",KZ,RL,Representative List,Plucked string instruments; Puppets,Animism; Apprenticeship; Dance; Festivals; Games; Handicrafts; Nomads; Percussion instruments; Technical skills; Vocal music; Wood carving,https://ich.unesco.org/en/RL/01878
f3efdda3-c442-4df5-bd13-4fb1b11d3cf0,2273,2025,The Compas of Haiti,HT,RL,Representative List,Dance; Instrumental music; Vocal music,Colonial history; Emotions; Family; Festivals; Life cycle; Percussion instruments; Social inclusion; Workshops (teaching method),https://ich.unesco.org/en/RL/02273
edfb54ef-89db-45c4-adf9-f02b20be694e,1954,2024,"Vytsinanka, traditional art of paper cutting in Belarus",BY,RL,Representative List,Decorative arts; Paper,Artistic creation; Everyday life; Folk art; Geometry; Handicrafts education; Icons; Pattern; Symbols,https://ich.unesco.org/en/RL/01954
4eebf792-5392-4814-b38f-cef6470460aa,2108,2024,Funfair culture,BE; FR,RL,Representative List,Fair; Family; Social gathering,Emotions; Float; Food customs; Games; Labour migration; Maintenance; Oral tradition; Performing arts; Technical skills,https://ich.unesco.org/en/RL/02108
a9bd0a13-9ce2-433c-8ce2-3dae1d68a9e6,2312,2025,Deepavali,IN,RL,Representative List,Epic poetry; Festivals; Light,Costumes; Diaspora; Food preparation; Handicrafts; Hinduism; Income; Instrumental music; Intergenerational relationship; Prosperity ritual; Social inclusion,https://ich.unesco.org/en/RL/02312
754a1ec4-1aed-4fa9-864a-ca306eaab97b,2319,2025,"Ayeneh-Kari, the art of mirror-work in Persian architecture",IR,RL,Representative List,Decorative arts; Interior architecture; Optical instruments; Technical skills,Apprenticeship; Craft workers; Family; Geometry; Light; Mosaics; Restoration; Temples,https://ich.unesco.org/en/RL/02319
86f5d1f3-727d-4f33-8b15-528a6949bdcb,2090,2024,"Kebaya: knowledge, skills, traditions and practices",BN; ID; MY; SG; TH,RL,Representative List,Costumes; Embroidery; Women workers,Craft workers; Design; Family; Income; Multiculturalism; Social gathering; Technical skills; Weaving,https://ich.unesco.org/en/RL/02090
8149d0b7-12d8-488d-8caa-8a15c8a6687c,2115,2024,"Cultural practices and expressions linked to Krama, a traditional woven textile in Cambodia",KH,RL,Representative List,Traditional tools; Weaving; Women workers,Family; Income; Life cycle; Natural dyes; Pattern; Ritual items; Textile arts,https://ich.unesco.org/en/RL/02115
66ea6760-e4eb-43f7-8906-0fc71dfd8c96,2126,2024,"Spring festival, social practices of the Chinese people in celebration of traditional new year",CN,RL,Representative List,Festivals; New year,Calendars; Decorative arts; Food customs; Offering; Oral tradition; Performing arts; Prosperity ritual; Social gathering; Veneration of the dead,https://ich.unesco.org/en/RL/02126
d9370f33-f6be-438d-8554-5a8e34f16d69,2123,2025,"Traditional knowledge and cultural contexts of making Maksym, a traditional Kyrgyz beverage",KG,RL,Representative List,Fermented beverages,Community participation; Family; Food preparation; Nomads; Social inclusion; Vocational education,https://ich.unesco.org/en/RL/02123
ac21e002-4994-45ce-a540-8741d47b8637,2287,2025,Yodelling,CH,RL,Representative List,Technical skills; Yodelling,Choir singing; Costumes; Cultural participation; Festivals; Music education; Oral tradition; Social gathering; Training courses; Woodwind instruments,https://ich.unesco.org/en/RL/02287
01985e61-2c99-4f2b-8578-80f8481cef9f,1876,2022,Turkmen-style needlework art,TM; IR,RL,Representative List,Embroidery; Handicrafts,Colours; Costumes; Decorative arts; Family; Festivity; Life cycle; Needle; Nonformal education; Pattern; Religious belief; Technical skills; Women workers,https://ich.unesco.org/en/RL/01876
921ed377-2f1d-4245-b062-7719058ae084,2099,2024,Fonelamvonglao (lamvonglao),LA,RL,Representative List,Dance; Movement education; Social gathering,Agricultural ritual; Choreography; Costumes; Festivals; Instrumental music; Oral tradition; Social inclusion,https://ich.unesco.org/en/RL/02099
